close,high,low,open,time,volume,symbol
107740.0,107833.5,107740.0,107833.5,2025-05-24 02:45:00,140,BTCUSDT
107683.5,107804.0,107658.0,107740.0,2025-05-24 02:50:00,207,BTCUSDT
107775.0,107775.0,107675.5,107694.5,2025-05-24 02:55:00,91,BTCUSDT
107939.0,107971.5,107709.0,107742.0,2025-05-24 03:00:00,1685,BTCUSDT
107926.0,107950.0,107883.0,107950.0,2025-05-24 03:05:00,132,BTCUSDT
108001.0,108061.0,107938.0,107938.0,2025-05-24 03:10:00,216,BTCUSDT
108092.0,108095.0,107955.5,107998.5,2025-05-24 03:15:00,90,BTCUSDT
108192.5,108216.5,108083.0,108100.0,2025-05-24 03:20:00,1375,BTCUSDT
108260.5,108274.5,108122.0,108183.5,2025-05-24 03:25:00,195,BTCUSDT
108106.5,108299.0,108106.5,108269.0,2025-05-24 03:30:00,167,BTCUSDT
108142.5,108147.0,108075.0,108099.5,2025-05-24 03:35:00,56,BTCUSDT
108129.0,108159.0,108080.5,108143.0,2025-05-24 03:40:00,67,BTCUSDT
108079.5,108129.5,108050.0,108126.5,2025-05-24 03:45:00,72,BTCUSDT
108226.0,108239.5,108079.5,108079.5,2025-05-24 03:50:00,100,BTCUSDT
108300.0,108300.0,108191.5,108228.5,2025-05-24 03:55:00,98,BTCUSDT
108263.0,108349.0,108262.0,108307.0,2025-05-24 04:00:00,135,BTCUSDT
108339.0,108342.0,108251.5,108263.0,2025-05-24 04:05:00,96,BTCUSDT
108284.0,108344.0,108238.0,108344.0,2025-05-24 04:10:00,101,BTCUSDT
108436.0,108436.0,108281.5,108284.5,2025-05-24 04:15:00,125,BTCUSDT
108384.0,108436.0,108365.5,108405.0,2025-05-24 04:20:00,140,BTCUSDT
108392.5,108422.5,108377.5,108387.0,2025-05-24 04:25:00,73,BTCUSDT
108421.5,108421.5,108346.5,108392.5,2025-05-24 04:30:00,129,BTCUSDT
108489.0,108489.0,108334.0,108423.5,2025-05-24 04:35:00,2247,BTCUSDT
108439.0,108494.0,108434.5,108466.5,2025-05-24 04:40:00,103,BTCUSDT
108497.0,108497.0,108395.0,108439.0,2025-05-24 04:45:00,91,BTCUSDT
108488.0,108519.5,108486.0,108497.0,2025-05-24 04:50:00,145,BTCUSDT
108438.5,108510.0,108427.5,108493.0,2025-05-24 04:55:00,310,BTCUSDT
108291.5,108469.0,108291.5,108438.5,2025-05-24 05:00:00,248,BTCUSDT
108376.0,108444.5,108314.0,108314.0,2025-05-24 05:05:00,1482,BTCUSDT
108300.0,108376.0,108248.5,108376.0,2025-05-24 05:10:00,256,BTCUSDT
108284.0,108299.5,108219.5,108299.5,2025-05-24 05:15:00,691,BTCUSDT
108249.5,108284.0,108168.5,108284.0,2025-05-24 05:20:00,182,BTCUSDT
108313.5,108313.5,108268.5,108281.5,2025-05-24 05:25:00,107,BTCUSDT
108349.5,108385.5,108314.0,108314.0,2025-05-24 05:30:00,494,BTCUSDT
108251.0,108349.0,108251.0,108349.0,2025-05-24 05:35:00,117,BTCUSDT
108172.0,108260.0,108145.0,108260.0,2025-05-24 05:40:00,73,BTCUSDT
108116.5,108197.5,108069.0,108197.5,2025-05-24 05:45:00,155,BTCUSDT
108139.0,108139.0,108070.5,108121.5,2025-05-24 05:50:00,744,BTCUSDT
108193.5,108193.5,108141.5,108141.5,2025-05-24 05:55:00,80,BTCUSDT
108191.0,108191.0,108153.5,108186.5,2025-05-24 06:00:00,94,BTCUSDT
108261.0,108290.0,108191.0,108191.0,2025-05-24 06:05:00,198,BTCUSDT
108180.0,108260.5,108180.0,108260.5,2025-05-24 06:10:00,970,BTCUSDT
107984.0,108165.5,107950.0,108165.5,2025-05-24 06:15:00,179,BTCUSDT
108097.0,108133.0,107984.0,107984.0,2025-05-24 06:20:00,75,BTCUSDT
108152.5,108181.0,108117.5,108128.5,2025-05-24 06:25:00,72,BTCUSDT
107702.0,108147.0,107700.5,108147.0,2025-05-24 06:30:00,2366,BTCUSDT
107840.5,107867.0,107654.5,107686.0,2025-05-24 06:35:00,310,BTCUSDT
107898.0,107909.0,107796.5,107855.5,2025-05-24 06:40:00,156,BTCUSDT
107685.0,107871.0,107685.0,107871.0,2025-05-24 06:45:00,322,BTCUSDT
107826.0,107833.0,107701.5,107701.5,2025-05-24 06:50:00,258,BTCUSDT
107917.0,107918.5,107830.0,107830.0,2025-05-24 06:55:00,120,BTCUSDT
108038.0,108039.5,107916.5,107916.5,2025-05-24 07:00:00,204,BTCUSDT
108026.0,108081.5,107976.5,108081.5,2025-05-24 07:05:00,98,BTCUSDT
108030.0,108072.0,107985.5,108026.0,2025-05-24 07:10:00,85,BTCUSDT
108148.0,108148.0,108064.5,108064.5,2025-05-24 07:15:00,84,BTCUSDT
108158.0,108178.5,108114.5,108147.0,2025-05-24 07:20:00,400,BTCUSDT
108161.5,108182.0,108113.5,108158.5,2025-05-24 07:25:00,74,BTCUSDT
108083.0,108161.5,108066.0,108161.5,2025-05-24 07:30:00,93,BTCUSDT
108050.5,108097.0,108050.5,108097.0,2025-05-24 07:35:00,77,BTCUSDT
107979.0,108057.5,107949.5,108050.0,2025-05-24 07:40:00,175,BTCUSDT
107917.5,107963.5,107888.0,107963.5,2025-05-24 07:45:00,1624,BTCUSDT
107730.0,107955.0,107664.0,107917.5,2025-05-24 07:50:00,212,BTCUSDT
107578.0,107820.5,107526.0,107725.0,2025-05-24 07:55:00,1967,BTCUSDT
107729.0,107739.0,107551.0,107551.0,2025-05-24 08:00:00,220,BTCUSDT
107885.5,107924.0,107650.5,107734.5,2025-05-24 08:05:00,390,BTCUSDT
107810.0,107966.5,107749.5,107886.0,2025-05-24 08:10:00,197,BTCUSDT
107714.5,107821.5,107712.5,107821.5,2025-05-24 08:15:00,216,BTCUSDT
107761.0,107799.5,107650.5,107714.5,2025-05-24 08:20:00,101,BTCUSDT
107849.0,107849.0,107745.0,107745.0,2025-05-24 08:25:00,100,BTCUSDT
107887.5,107887.5,107807.0,107848.5,2025-05-24 08:30:00,182,BTCUSDT
107910.5,107910.5,107809.0,107887.5,2025-05-24 08:35:00,119,BTCUSDT
108028.0,108035.0,107918.5,107918.5,2025-05-24 08:40:00,174,BTCUSDT
108069.0,108095.0,108025.0,108027.5,2025-05-24 08:45:00,356,BTCUSDT
108222.5,108222.5,108016.5,108069.0,2025-05-24 08:50:00,835,BTCUSDT
108199.5,108238.5,108112.0,108181.5,2025-05-24 08:55:00,247,BTCUSDT
108310.0,108382.5,108148.0,108209.5,2025-05-24 09:00:00,277,BTCUSDT
